repo,org,datasources,teacher,eval_benchmark,swept
DCAgent/code-contests-sandboxes-with-tests_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/code_contests-GLM-4.6-traces,DCAgent,,GLM-4.6,,True
DCAgent/code_contests-Qwen3-8B,DCAgent,,Qwen3,,False
DCAgent/code_contests-Qwen3-Coder-480B-traces,DCAgent,,Qwen3-Coder-480B,,True
DCAgent/code_contests_10k_OG_10k_New_Questions_GPT5-mini,DCAgent,,GPT-5-mini,,False
DCAgent/code_contests_new_questions_gpt-5-mini,DCAgent,,GPT-5-mini,,False
DCAgent/code_contests_new_questions_gpt-5-mini-sandboxes,DCAgent,,GPT-5-mini,,False
DCAgent/codeforces-gptoss120b-traces,DCAgent,,GPT-OSS,,True
DCAgent/codeforces-sandboxes-1_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/d1_constrain_then_harden_top4_seq_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_constrain_top4_seq_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_harden_then_constrain_top4_seq_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_hardened_top4_seq_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_mix_top4_seq_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_original_top4_seq_40k_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_original_top4_seq_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_selective_hardened_top4_seq_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_trace_hints_top4_seq_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/d1_trace_hints_top4_seq_sandboxes,DCAgent,,,,False
DCAgent/e1_a1_r2egym_traces,DCAgent,,,,True
DCAgent/e1_askllm_d1_original_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_askllm_top4_seq_traces,DCAgent,,,,True
DCAgent/e1_embedding_b1_20k_sandboxes_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_embedding_d1_constrain_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_embedding_d1_constrain_sandboxes_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_embedding_d1_original_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_embedding_d1_original_sandboxes_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_a1_repo_scaffold_traces,DCAgent,,,,True
DCAgent/e1_gpt_long_d1_original_40k_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_d1_original_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_d1_original_sandboxes_2x_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_r2egym_sandboxes_4x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_sampled_psu_swesmith_31k_glm47_traces,DCAgent,swesmith,GLM-4.7,,True
DCAgent/e1_gpt_long_sampled_psu_swesmith_31k_sandboxes,DCAgent,swesmith,,,False
DCAgent/e1_gpt_long_scaffold_sandboxes_4x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_superuser_100k_sandboxes,DCAgent,superuser,,,False
DCAgent/e1_gpt_long_swegym_20k_diverse_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_swegym_20k_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_swegym_sandboxes_4x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_top50_weighted_top4_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_tor_sandboxes_4x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_gpt_long_tor_traces,DCAgent,,,,True
DCAgent/e1_gpt_short_d1_original_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_pass_rate_easy_top4_seq_traces,DCAgent,,,,True
DCAgent/e1_pass_rate_medium_top4_seq_traces,DCAgent,,,,True
DCAgent/e1_random_b1_20k_sandboxes_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_random_d1_constrain_sandboxes_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_random_d1_harden_then_constrain_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_random_d1_original_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_random_d1_original_sandboxes_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/e1_random_top4_seq_traces,DCAgent,,,,True
DCAgent/e1_swegym_combined_capped4_glm47_traces,DCAgent,,GLM-4.7,,True
DCAgent/e1_swegym_traces,DCAgent,,,,True
DCAgent/e1_swegym_traces_matched_4x,DCAgent,,,,True
DCAgent/e1_swegym_traces_matched_4x_decontam,DCAgent,,,,True
DCAgent/e1_swegym_traces_matched_4x_last_ep,DCAgent,,,,True
DCAgent/e1_weighted_issue_50k_sandboxes,DCAgent,issue,,,False
DCAgent/e1_weighted_issue_50k_sandboxes_glm_4.7_traces_jupiter,DCAgent,issue,GLM-4.7,,True
DCAgent/e1_weighted_superuser_50k_glm47_traces,DCAgent,superuser,GLM-4.7,,True
DCAgent/e1_weighted_superuser_50k_sandboxes,DCAgent,superuser,,,False
DCAgent/e1_weighted_superuser_50k_sandboxes_glm_4.7_traces_jupiter,DCAgent,superuser,GLM-4.7,,True
DCAgent/e1_weighted_swesmith_25k_glm47_traces,DCAgent,swesmith,GLM-4.7,,True
DCAgent/e1_weighted_swesmith_50k_glm47_traces,DCAgent,swesmith,GLM-4.7,,True
DCAgent/e1_weighted_swesmith_50k_sandboxes,DCAgent,swesmith,,,False
DCAgent/e1_weighted_swesmith_50k_sandboxes_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/e1_weighted_tezos_50k_glm47_traces,DCAgent,tezos,GLM-4.7,,True
DCAgent/e1_weighted_tezos_50k_sandboxes,DCAgent,tezos,,,False
DCAgent/exp-gfi-staqc-askllm-filtered-10K_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-staqc-embedding-mean-filtered-10K_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-staqc-embedding-mean-filtered-10K_glm_4.7_traces_jupiter-10pct,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-staqc-embedding-mean-filtered-10K_glm_4.7_traces_jupiter-3pct,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-staqc-embedding-mean-filtered-10K_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-staqc-embedding-mean-filtered-10K_glm_4.7_traces_openhands,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-staqc-random-filtered-10K_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-staqc-short-response-filtered-10K_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-staqc-short-response-filtered-10K_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-gfi-swesmith-askllm-filtered-10K,DCAgent,swesmith,,,False
DCAgent/exp-gfi-swesmith-embedding-mean-filtered-10K,DCAgent,swesmith,,,False
DCAgent/exp-gfi-swesmith-embedding-mean-filtered-10K_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-gfi-swesmith-random-filtered-10K,DCAgent,swesmith,,,False
DCAgent/exp-gfi-swesmith-random-filtered-10K_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-gfi-swesmith-random-filtered-10K_glm_4.7_traces_jupiter_cleaned,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-gfi-swesmith-short-response-filtered-10K,DCAgent,swesmith,,,False
DCAgent/exp-gfi-swesmith-short-response-filtered-10K_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-gfi-swesmith-short-response-filtered-10K_glm_4.7_traces_jupiter_cleaned,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-psu-stackoverflow-10K_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-psu-stackoverflow-1K_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-psu-stackoverflow-316_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-psu-stackoverflow-31K_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-psu-stackoverflow-3K_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-psu-swesmith-10K_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-psu-swesmith-1K_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-psu-swesmith-316_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-psu-swesmith-31K,DCAgent,swesmith,,,False
DCAgent/exp-psu-swesmith-31K_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-psu-swesmith-3K_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-swd-r2egym-standard_glm_4.7_traces_locetash_upsampled_10k,DCAgent,,GLM-4.7,,True
DCAgent/exp-swd-r2egym-wo-docker_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-swd-swesmith-standard,DCAgent,swesmith,,,False
DCAgent/exp-swd-swesmith-wo-docker,DCAgent,swesmith,,,False
DCAgent/exp-swd-swesmith-wo-docker_glm_4.7_traces_locetash,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-syh-r2egym-askllm-constrained_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-syh-r2egym-askllm-constrained_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-syh-r2egym-askllm-hardened_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-syh-r2egym-askllm-hardened_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-syh-r2egym-swesmith-mixed,DCAgent,swesmith,,,False
DCAgent/exp-syh-r2egym-swesmith-mixed_glm_4.7_traces_jupiter,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-syh-r2egym-swesmith-mixed_glm_4.7_traces_jupiter_cleaned,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-syh-r2egym-swesmith-mixed_glm_4.7_traces_locetash,DCAgent,swesmith,GLM-4.7,,True
DCAgent/exp-syh-tezos-askllm-constrained,DCAgent,tezos,,,False
DCAgent/exp-syh-tezos-askllm-constrained_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-syh-tezos-askllm-constrained_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-syh-tezos-askllm-hardened,DCAgent,tezos,,,False
DCAgent/exp-syh-tezos-askllm-hardened_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-syh-tezos-askllm-hardened_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-syh-tezos-stackoverflow-mixed,DCAgent,tezos,,,False
DCAgent/exp-syh-tezos-stackoverflow-mixed_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-syh-tezos-stackoverflow-mixed_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-r2egym-128unique_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-128unique_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-128unique_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-16_8x_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-16_8x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-16_8x_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-16_8x_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-1unique_glm_4.7_traces,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-1unique_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-1unique_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-2_1x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-2_1x_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-2_1x_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-33_6x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-33_6x_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-33_6x_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-4_2x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-4_2x_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-4_2x_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-8_4x_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-8_4x_glm_4.7_traces_jupiter_cleaned,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-r2egym-8_4x_glm_4.7_traces_locetash,DCAgent,,GLM-4.7,,True
DCAgent/exp-uns-tezos-10x,DCAgent,tezos,,,False
DCAgent/exp-uns-tezos-10x_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-10x_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-128unique,DCAgent,tezos,,,False
DCAgent/exp-uns-tezos-128unique_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-128unique_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-128unique_glm_4.7_traces_locetash,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-160x,DCAgent,tezos,,,False
DCAgent/exp-uns-tezos-160x_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-160x_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-1unique,DCAgent,tezos,,,False
DCAgent/exp-uns-tezos-1unique_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-1unique_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-1unique_glm_4.7_traces_locetash,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-20x,DCAgent,tezos,,,False
DCAgent/exp-uns-tezos-20x_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-40x,DCAgent,tezos,,,False
DCAgent/exp-uns-tezos-40x_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-40x_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-80x,DCAgent,tezos,,,False
DCAgent/exp-uns-tezos-80x_glm_4.7_traces_jupiter,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp-uns-tezos-80x_glm_4.7_traces_jupiter_cleaned,DCAgent,tezos,GLM-4.7,,True
DCAgent/exp_8_1_style_transfer_github_issue,DCAgent,issue,,,False
DCAgent/exp_8_1_style_transfer_github_issue_test25,DCAgent,issue,,,False
DCAgent/exp_8_1_style_transfer_github_issue_test5,DCAgent,issue,,,False
DCAgent/exp_flat25_baseline_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_flat25_pseudocode_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_flat25_speed_bonus_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_flat25_stackoverflow_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_llmve_llm-verifier-r2egym-gpt_5_nano,DCAgent,,GPT-5-nano,,False
DCAgent/exp_rle_2skill_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_adversarial_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_curated_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_detailed_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_error_report_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_expert_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_github_issue,DCAgent,issue,,,False
DCAgent/exp_rle_github_issue_10k,DCAgent,issue,,,False
DCAgent/exp_rle_github_issue_10k_glm_4.7_traces_jupiter,DCAgent,issue,GLM-4.7,,True
DCAgent/exp_rle_heavy_padding_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_minimal_instructions_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_moderate_padding_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_partial_ambiguity_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rle_proportional_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_bigcodebench_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_bugsinpy-mf-large_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_bugswarm_10k_glm_4.7_traces_jupiter_upsampled_10k,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_codeelo-v2_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_codeelo-v2_10k_glm_4.7_traces_jupiter_upsampled_10k,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_codereval-python_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_crosscodeeval-python-v2_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_defects4j-v3_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_e2egit_10k_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_ghactions_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_ghactions_glm_4.7_traces_jupiter_upsampled_10k,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_issue_10k,DCAgent,issue,,,False
DCAgent/exp_rpt_issue_10k_glm_4.6_traces_jupiter,DCAgent,issue,GLM-4.6,,True
DCAgent/exp_rpt_issue_25k,DCAgent,issue,,,False
DCAgent/exp_rpt_issues_glm5awq_traces,DCAgent,issue,GLM-5.x,,True
DCAgent/exp_rpt_methods2test_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
DCAgent/exp_rpt_nemotron-bash-withtests-gpt5mini,DCAgent,,GPT-5-mini,,False
DCAgent/exp_rpt_nemotron-bash-withtests-gpt5mini_glm_4.7_traces_jupiter,DCAgent,,GLM-4.7,,True
